unix,open,high,low,close,Volume BTC,Volume USDT,gains,losses,gains ave,losses ave,rs,rsi,rsi ma,rsi ema
1.52E+12,11499.98,12244,11408,11879.95,16887.33952,200211582.9,388.95,0,4019.551383,4723.863988,0.850903285,45.9723256,42.88643746,44.59850299
1.52E+12,11879.95,11975.02,11139.55,11251,14170.37754,162110154.9,0,628.95,3732.44057,5015.395132,0.744196713,42.66701728,42.5246046,43.7458813
1.52E+12,11250.11,11308.42,9900,10237.51,25554.37295,268978329.5,0,1013.49,3465.837672,5670.642622,0.611189578,37.93405732,42.04445543,43.14427061
1.52E+12,10230,10425.85,9700,10285.1,18015.95681,181644207.1,47.59,0,3265.867839,5265.596721,0.62022749,38.280272,41.46605265,42.7105044
1.52E+12,10285.1,10335,8750.99,9224.52,33564.76431,317636346,0,1060.58,3032.591565,5950.062669,0.509673886,33.76052874,41.01115412,42.24427012
1.52E+12,9224.52,9250,8010.02,8873.03,49971.62698,434236483.7,0,351.49,2815.977881,5876.548193,0.479189107,32.39539183,40.37342454,41.69951789
1.52E+12,8873.03,9473.01,8229,9199.96,28725.00074,256834729.1,326.93,0,2941.766604,5456.794751,0.539101568,35.02702999,39.75202856,41.21766325
1.52E+12,9199.96,9368,7930,8184.81,32014.30845,274912288.4,0,1015.15,2731.640418,6082.173697,0.449122395,30.99271646,39.09048963,40.62669615
1.52E+12,8179.99,8382.8,6625,6939.99,63403.18258,471166218.7,0,1244.82,2536.523245,6892.552719,0.368009263,26.90107976,38.21763844,40.01442883
1.52E+12,6939.63,7878,6000.01,7652.14,100201.5003,684364276.4,712.15,0,3067.493014,6400.227524,0.479278745,32.39948836,38.07087059,39.36767139
1.52E+12,7655.02,8476,7150.01,7599,60778.4605,477935038.8,0,53.14,2848.38637,5996.208415,0.475031248,32.2048261,37.8910328,38.56264832
1.52E+12,7599,7844,7572.09,7784.02,1521.537318,11770168.04,185.02,0,2829.9502,5567.907814,0.508260965,33.69847639,37.78662811,38.21840391
1.52E+12,7789.9,8738,7789.9,8683.92,20482.91083,173348469.8,899.9,0,3527.7109,5170.200113,0.682316124,40.55813971,37.85858348,37.98924414
1.52E+12,8683.93,9065.78,8120,8533.98,49381.51265,423411421.9,0,149.94,3275.73155,4950.840105,0.661651655,39.8189147,37.54576647,37.84741292
1.52E+12,8533.99,8549,7726.53,8063.88,45025.18795,366966437.2,0,470.1,3041.750725,5067.308669,0.600269477,37.51052468,37.36727036,37.85523231
1.52E+12,8063.82,8989,8053,8903,41987.85049,362440827,839.12,0,3663.602816,4705.35805,0.778602346,43.77607776,37.61942382,37.63860622
1.52E+12,8903,8950,8351,8539.9,35454.97296,305165143.7,0,363.1,3401.916901,4732.361046,0.718862502,41.82198989,37.76776941,37.44867112
1.52E+12,8535.17,9489.6,8533,9449.99,40811.95287,370126692.7,910.09,0,4069.012837,4394.335257,0.925967774,48.07805128,38.0601333,37.56819801
1.52E+12,9449.98,10219.5,9301.5,10000.09,52427.59672,512388484.7,550.1,0,4328.469063,4080.454168,1.060781199,51.47471257,38.54957599,37.70789799
1.52E+12,10000.89,10323.37,9666,10159.98,38161.20597,381103299.2,159.89,0,4179.182701,3788.993156,1.102979744,52.44842454,39.10366959,37.9544627
1.52E+12,10156.07,11075.07,10050,11039.55,41882.10841,446012696.2,879.57,0,4760.239651,3518.350787,1.352974714,57.50060577,39.77241194,38.371042
1.52E+12,11039.55,11274,10080,10383.43,61137.38073,649423311.3,0,656.12,4420.222533,3923.160017,1.126699526,52.97878296,40.10605277,38.88388131
1.52E+12,10375.01,11250,10270.33,11153,40831.41713,443766562.7,769.57,0,4874.062352,3642.934301,1.337949562,57.2274776,40.79940802,39.50585275
1.52E+12,11147.11,11786.01,11100.59,11200.99,48153.35429,551573232.2,47.99,0,4573.905041,3382.724708,1.35213635,57.48545785,41.73042709,39.92599276
1.52E+12,11195.07,11304.03,10200,10437.6,68113.81875,731537130.5,0,763.39,4247.197538,3904.491515,1.087772255,52.1020553,42.38860725,40.53738344
1.52E+12,10439.02,10933.44,9679,9811.04,67060.16648,682006373.9,0,626.56,3943.826286,4252.159264,0.927487905,48.11899999,43.07234398,41.372514
1.52E+12,9815.55,10435,9570.19,10131.04,57202.70237,571800753.5,320,0,3982.124408,3948.433602,1.008532702,50.21241132,43.92077348,42.08377927
1.52E+12,10131.04,10496.97,9352,9694.51,40888.1563,405618586.6,0,436.53,3697.68695,4102.932631,0.901230238,47.40247761,44.5100805,42.77577457
1.52E+12,9694.51,9847,9274.8,9590,28373.51759,271286599.1,0,104.51,3433.566454,3914.376014,0.877168274,46.72827079,45.25939262,43.5772738
1.52E+12,9590,10444.32,9350,10324,34878.29276,347559259.7,734,0,3922.311707,3634.777727,1.079106345,51.90241218,46.44993225,44.23023849
