unix,close,gains,losses,gains ave,losses ave,rs,rsi
1.53619E+12,57.61,0,0.21,14.41641751,19.81536237,0.727537414,42.11413359
1.53628E+12,55.66,0,1.95,13.3866734,20.34997935,0.657822456,39.67990986
1.53636E+12,53.07,0,2.59,12.43048244,21.48640939,0.578527674,36.64982777
1.53645E+12,54.74,1.67,0,13.21259084,19.95166587,0.662229958,39.83985216
1.53654E+12,54.34,0,0.4,12.26883435,18.92654688,0.648234167,39.3290092
1.53662E+12,52.04,0,2.3,11.39248904,19.87465067,0.573217071,36.43598086
1.53671E+12,51.69,0,0.35,10.57873982,18.80503277,0.562548332,36.00197964
1.5368E+12,54.44,2.75,0,12.57311555,17.46181614,0.720034815,41.86164191
1.53688E+12,56.24,1.8,0,13.47503587,16.21454356,0.831046265,45.38641547
1.53697E+12,56.22,0,0.02,12.51253331,15.07636188,0.829943816,45.35351352
1.53706E+12,56.75,0.53,0,12.14878093,13.99947888,0.867802368,46.46114508
1.53714E+12,52.07,0,4.68,11.28101086,17.67951611,0.638083689,38.95305798
1.53723E+12,53.96,1.89,0,12.36522437,16.41669353,0.753210404,42.96178043
1.53732E+12,54.27,0.31,0,11.79199406,15.24407256,0.773546177,43.61579007
1.5374E+12,56.53,2.26,0,13.20970877,14.15521024,0.933204703,48.27242049
1.53749E+12,60.83,4.3,0,16.56615814,13.14412379,1.260347088,55.75900687
1.53757E+12,60.65,0,0.18,15.38286113,12.38525781,1.24202995,55.39756282
1.53766E+12,61.38,0.73,0,15.01408534,11.50059653,1.305504918,56.62555338
1.53775E+12,58.01,0,3.37,13.94165067,14.04912535,0.99235008,49.80801768
1.53783E+12,57.61,0,0.4,12.94581848,13.4456164,0.962828188,49.05310583
1.53792E+12,57.18,0,0.43,12.02111716,12.91521523,0.930771725,48.20723823
1.53801E+12,63.28,6.1,0,17.26246593,11.99269985,1.439414489,59.00655651
1.53809E+12,61.95,0,1.33,16.02943265,12.46607844,1.28584404,56.25248343
1.53818E+12,61.61,0,0.34,14.88447318,11.91564426,1.249153873,55.53883565
1.53827E+12,61.21,0,0.4,13.82129652,11.46452681,1.205570605,54.66025898
1.53835E+12,60.45,0,0.76,12.83406106,11.40563204,1.125238918,52.94646679
1.53844E+12,59.46,0,0.99,11.91734241,11.58094404,1.029047578,50.71579341
1.53852E+12,57.56,0,1.9,11.06610367,12.65373375,0.874532678,46.65337064
1.53861E+12,58.42,0.86,0,11.13566769,11.74989563,0.947724818,48.65804497
1.5387E+12,58.93,0.51,0,10.85026285,10.91061737,0.994468277,49.86132337
1.53878E+12,57.96,0,0.97,10.07524408,11.10128755,0.907574372,47.57740433
1.53887E+12,58.33,0.37,0,9.725583788,10.30833844,0.943467644,48.54558022
1.53896E+12,59.66,1.33,0,10.36089923,9.572028555,1.082414158,51.97881286
1.53904E+12,59.03,0,0.63,9.620835001,9.518312229,1.010771108,50.26783527
1.53913E+12,58.46,0,0.57,8.933632501,9.408432784,0.949534604,48.70570659
1.53922E+12,51.36,0,7.1,8.295515894,15.83640187,0.523825801,34.37570099
1.5393E+12,53.74,2.38,0,10.08297904,14.70523031,0.685672977,40.67651237
1.53939E+12,54.05,0.31,0,9.672766255,13.65485672,0.708375522,41.46486021
1.53948E+12,52.61,0,1.44,8.98185438,14.11950981,0.636130751,38.8801904
1.53956E+12,56.16,3.55,0,11.89029335,13.11097339,0.906896307,47.55876362
1.53965E+12,55.54,0,0.62,11.04098668,12.79447529,0.862949549,46.32168109
1.53973E+12,55.27,0,0.27,10.25234478,12.1505842,0.843773814,45.7634124
1.53982E+12,53.53,0,1.74,9.520034437,13.02268533,0.731034667,42.23108186
1.53991E+12,53.71,0.18,0,9.020031978,12.09249352,0.745919935,42.7236049
1.53999E+12,54.28,0.57,0,8.945743979,11.22874398,0.796682513,44.34186382
1.54008E+12,53.61,0,0.67,8.306762266,11.09669084,0.748580129,42.81074209
1.54017E+12,53.12,0,0.49,7.713422104,10.79407007,0.714598113,41.67729497
1.54025E+12,53.33,0.21,0,7.372463383,10.02306506,0.735549788,42.38137063
1.54034E+12,53.11,0,0.22,6.845858855,9.527131843,0.718564513,41.81190218
1.54043E+12,52.84,0,0.27,6.356868937,9.116622426,0.69728334,41.08231806
1.54051E+12,52.56,0,0.28,5.90280687,8.74543511,0.674958627,40.29703277
1.5406E+12,52.25,0,0.31,5.481177808,8.430761173,0.650140325,39.39909322
1.54068E+12,52.07,0,0.18,5.089665107,8.008563947,0.63552781,38.85765844
1.54077E+12,49.21,0,2.86,4.7261176,10.29652366,0.459001286,31.45996444
1.54086E+12,49.34,0.13,0,4.518537771,9.561057689,0.472598108,32.09280966
1.54094E+12,49.93,0.59,0,4.785785073,8.878124997,0.539053581,35.02500418
1.54103E+12,50.61,0.68,0,5.123943282,8.243973211,0.62153808,38.33015627
1.54112E+12,51.78,1.17,0,5.927947334,7.655117982,0.774377005,43.64219118
1.5412E+12,51.04,0,0.74,5.504522524,7.84832384,0.701362818,41.22358914
1.54129E+12,54.6,3.56,0,8.671342344,7.28772928,1.189855168,54.33487955
1.54138E+12,53.91,0,0.69,8.051960748,7.457177189,1.07975988,51.91752618
1.54146E+12,56.48,2.57,0,10.04682069,6.924521675,1.45090465,59.19873912
1.54155E+12,54.47,0,2.01,9.329190645,8.439912984,1.105365738,52.50231435
1.54164E+12,52.72,0,1.75,8.662819884,9.587062057,0.903594848,47.46781328
1.54172E+12,52.25,0,0.47,8.044047036,9.37227191,0.85828144,46.18683811
1.54181E+12,52.48,0.23,0,7.699472247,8.702823916,0.884709644,46.94142924
1.54189E+12,51.46,0,1.02,7.149509944,9.101193637,0.785557393,43.9950794
1.54198E+12,51.26,0,0.2,6.638830662,8.651108377,0.767396543,43.4196019
1.54207E+12,50.43,0,0.83,6.164628472,8.863172064,0.695532979,41.02149518
1.54215E+12,45.05,0,5.38,5.724297867,13.61008835,0.420592264,29.60682488
1.54224E+12,44.78,0,0.27,5.315419448,12.90793918,0.411794584,29.16816574
