unix,open,high,low,Volume ETH,Volume USDT,close,gains,losses,gains ave,losses ave,rs,rsi
1.52E+12,1291,1440,1201.1,160185.0129,210902815.5,1247,0,44,545.3443032,134.055857,4.06803787,80.26849788
1.52E+12,1249.03,1332.49,1021,194546.2939,230792205.9,1138.93,0,108.07,506.3911387,232.5504387,2.177554003,68.5292524
1.52E+12,1136.45,1288.5,1069.01,93763.47261,113367281.8,1253.87,114.94,0,585.1603431,215.9396931,2.709832244,73.04460325
1.52E+12,1253.87,1427.01,1252,75893.43201,101824625.3,1388.02,134.15,0,677.5131757,200.5154293,3.378858067,77.16299581
1.52E+12,1388.1,1391.89,1220.89,98391.19585,128517479.7,1347,0,41.02,629.1193774,227.2128986,2.768854151,73.46673657
1.52E+12,1347.99,1383.13,1258.12,69236.70476,90732886.24,1271,0,76,584.182279,286.9834059,2.035596021,67.05754016
1.52E+12,1268.67,1275.01,780,343889.3651,355819297.5,1000,0,271,542.4549734,537.4845912,1.009247488,50.23012317
1.52E+12,999.99,1075.51,755,436333.6733,398063123.7,1000,0,0,503.7081896,499.0928346,1.009247488,50.23012317
1.52E+12,1000,1075.2,924.21,294545.7121,296964713.7,994,0,6,467.7290332,469.4433465,0.9963482,49.908538
1.52E+12,993.3,1079,941,167954.1125,171217738.3,1032.5,38.5,0,472.8198165,435.9116788,1.084668843,52.03075044
1.52E+12,1032.5,1165.4,1031,123352.5836,137333158.1,1152.75,120.25,0,559.2969725,404.7751304,1.381747372,58.01401896
1.52E+12,1150.37,1152.69,998,175031.0079,186353755.6,1049,0,103.75,519.3471887,479.612621,1.08284721,51.98879711
1.52E+12,1049,1090.15,908,185212.52,185276703.4,993,0,56,482.250961,501.3545767,0.961895998,49.02889853
1.52E+12,993,1030,909,160159.6396,156053774.3,980,0,13,447.8044638,478.5435355,0.93576536,48.34084643
1.52E+12,981.2,1074,953.09,134257.7947,135793371.3,1061,81,0,496.8184306,444.3618544,1.118049233,52.78674432
1.52E+12,1060.34,1115,1030.26,119415.935,127855243.2,1056.52,0,4.48,461.3313999,417.1017219,1.106040507,52.51753246
1.52E+12,1055.29,1082,986,145113.638,150237011.3,1051.03,0,5.49,428.379157,392.7987418,1.090581795,52.16642553
1.52E+12,1051.03,1127.99,1032.2,96894.33839,105043056.4,1118.99,67.96,0,465.7406458,364.7416888,1.276905438,56.08074084
1.52E+12,1118.99,1277,1112,143510.7359,173283524.9,1251.96,132.97,0,565.4434568,338.688711,1.669507835,62.53991141
1.52E+12,1251.96,1258.89,1161.65,105292.7681,126282956.2,1177.01,0,74.95,525.0546385,389.4466602,1.348206807,57.41431305
1.52E+12,1177.01,1186.85,1051,155278.554,173857602.8,1085.5,0,91.51,487.5507357,453.1390417,1.075940696,51.82906708
1.52E+12,1084.63,1135,1029,100372.0378,109226169.4,1124.81,39.31,0,492.0356832,420.7719673,1.16936422,53.90354506
1.52E+12,1125.96,1164.99,981,203355.2905,220810878.7,1041.94,0,82.87,456.8902772,473.5868267,0.964744481,49.10279633
1.52E+12,1041.89,1047.2,783.67,377375.2287,348077470.8,922.3,0,119.64,424.2552574,559.3991963,0.758412347,43.13051762
1.52E+12,923.67,998,851,160037.8813,150132852.2,971,48.7,0,442.6513105,519.4421108,0.852166779,46.00918172
1.52E+12,971,975,789,186446.0316,163419119,823.56,0,147.44,411.0333597,629.7791029,0.652662748,39.49158705
1.52E+12,821.6,862.47,634.94,365516.529,270801309.7,697.92,0,125.64,381.673834,710.4348813,0.537239716,34.94833698
1.52E+12,697.93,798,570.1,648944.4204,435291131,779.25,81.33,0,435.7414173,659.6895326,0.660524983,39.77808162
1.52E+12,779.99,849,714.18,356403.4441,282259408.7,754,0,25.25,404.6170304,637.8188517,0.634376092,38.81457242
1.52E+12,753.19,786.93,751,10516.2619,8110366.548,781.66,27.66,0,403.3758139,592.2603623,0.681078525,40.514379
1.52E+12,781.66,882.2,781.66,95447.67289,81316368.02,877,95.34,0,469.9032558,549.9560507,0.854437832,46.07530203
1.52E+12,876.3,911.2,800,214818.0677,184921265,851.15,0,25.85,436.3387375,536.5234756,0.813270541,44.85103148
1.52E+12,851.15,857,768.28,189323.408,154647315,808.99,0,42.16,405.1716848,540.3603702,0.749817542,42.85118444
1.52E+12,808.58,877.56,807.46,143586.9312,122610007.9,866.66,57.67,0,433.9008502,501.7632009,0.864752236,46.37357283
1.52E+12,866.39,871,820,110305.9354,92966057.38,841.57,0,25.09,402.9079323,491.0129723,0.820564741,45.07198906
1.52E+12,841.57,924.99,841.3,150342.8556,133514830.9,919.09,77.52,0,451.6487943,455.9406171,0.990586882,49.76355923
1.52E+12,919.09,946.66,895.59,155637.7852,143817533.1,924.55,5.46,0,424.8481661,423.3734302,1.003483298,50.08693105
1.52E+12,924.55,948.48,901.36,115540.1635,107292023.6,938.67,14.12,0,408.6218686,393.1324709,1.039399945,50.96596906
1.52E+12,938.6,974,933.48,110091.0362,105637458.5,969.99,31.32,0,410.7545922,365.0515801,1.12519604,52.94551743
1.52E+12,969.99,978.5,897,160129.7952,149501060.9,911,0,58.99,381.4149785,397.9664673,0.958409841,48.93816508
1.52E+12,911,956.22,906.04,80099.49534,75083849.38,938.11,27.11,0,381.2810515,369.540291,1.031771259,50.78186113
1.52E+12,939.17,961,873,120056.675,111258170,882.99,0,55.12,354.0466906,398.264556,0.888973637,47.06119871
1.52E+12,882.99,908.88,812.87,176200.5515,151739403,835.89,0,47.1,328.7576413,416.9170877,0.788544416,44.08861244
1.52E+12,836.35,871.96,786.6,137561.8511,112939926.7,801.49,0,34.4,305.2749526,421.5372957,0.724194409,42.00189985
1.52E+12,801.47,885,785.99,154507.4134,130147658,851.6,50.11,0,333.5795989,391.4274889,0.852213011,46.01052935
