unix,open,high,low,close,Volume ETH,Volume USDT
1.59356E+12,225.59,232.71,224.16,230.99,517351.5887,118322932.9
1.59348E+12,227.98,228.7,222.91,225.6,415036.0298,93802207.27
1.59339E+12,224.89,229.96,221.26,227.93,597915.5224,134510531.2
1.5933E+12,220.94,227.96,218.32,224.93,444766.5688,99423540.14
1.59322E+12,229.66,231.42,216,220.94,645950.6144,145264632.3
1.59313E+12,232.49,233.61,227.75,229.64,628340.0701,144805505.2
1.59304E+12,234.57,235.39,227.56,232.5,613748.5935,142697463.4
1.59296E+12,243.15,249.24,231.07,234.58,921634.0534,220763040.4
1.59287E+12,243.11,244.87,240.75,243.14,442296.3148,107457002.5
1.59278E+12,228.03,246.89,227.51,243.13,749030.1111,178707156.2
1.5927E+12,228.88,231.49,227.11,228.04,256305.2373,58868166.51
1.59261E+12,229,230.85,225.62,228.89,303704.9883,69343699.91
1.59252E+12,231.26,231.95,226.74,229,397284.5981,91117706.16
1.59244E+12,233.82,234.65,227.93,231.27,334347.7992,77542070.33
1.59235E+12,235.31,237.3,227.65,233.82,478187.2917,111415059.1
1.59227E+12,230.86,236,228.7,235.3,499194.6676,116456364.2
1.59218E+12,231.74,233.55,218.27,230.86,875026.9206,197907504.8
1.59209E+12,238.13,238.59,229.83,231.77,304943.2119,71575514.08
1.59201E+12,237.55,238.73,234.66,238.11,253797.7809,60087772.65
1.59192E+12,230.46,239.38,228.19,237.55,446515.3412,105069425.1
1.59183E+12,247.78,250.09,226.2,230.51,816456.8916,195063781.3
1.59175E+12,243.79,250.28,242,247.78,431285.6172,105797248.2
1.59166E+12,246.37,249.82,238,243.8,420327.1713,102374504.6
1.59157E+12,244.57,247.7,240.59,246.4,383116.5472,93355224.97
1.59149E+12,241.94,245.37,234.6,244.56,571102.5552,137165732.6
1.5914E+12,240.04,244.7,237.83,241.94,389423.078,93979350.81
1.59132E+12,243.22,247.87,239.14,240.03,502547.411,122084004.5
1.59123E+12,244.54,246.6,236,243.21,669369.3392,162460397.6
1.59114E+12,237.71,245,232.71,244.52,502928.1337,120179301.2
1.59106E+12,248.23,253.8,225,237.71,955520.9186,230680327.3
1.59097E+12,231.56,250.68,230.66,248.23,823816.6994,198791911.8
1.59088E+12,243.71,245.39,229.58,231.57,821608.6888,194867426.3
1.5908E+12,220.63,247,218.8,243.66,1019550.751,238678839.8
1.59071E+12,220.24,224.79,217.57,220.67,603058.0759,133220045.5
1.59062E+12,208.29,220.5,204.67,220.21,643945.9777,136361627.3
1.59054E+12,200.92,208.44,200.76,208.29,494816.7273,101445351
1.59045E+12,204.22,205,196.9,200.89,477176.7353,96116808.86
1.59036E+12,199.9,205.67,198.01,204.15,469931.6249,95411610.8
1.59028E+12,206.6,210.55,199.5,199.9,673535.0578,138917619.2
1.59019E+12,207.36,211.2,204.55,206.6,478559.9201,99461068.1
1.59011E+12,198.72,209.19,196.24,207.36,787672.3608,159972608.5
1.59002E+12,209.99,211.64,191.71,198.74,1003923.434,203445711
1.58993E+12,214.6,215.75,204.27,209.98,679532.6104,143704806.2
1.58985E+12,214.92,215.95,209.45,214.58,643702.9885,136846948.6
1.58976E+12,207.02,217.07,207,214.91,1064139.249,226789027.2
1.58967E+12,200.44,209.85,199.68,207,708711.8932,145341278.7
1.58959E+12,194.87,203.5,193.21,200.45,669900.0375,134060788.5
1.5895E+12,203.29,204.08,191.66,194.86,904749.6357,179634085.6
1.58941E+12,199.61,206.02,195.67,203.29,1114700.249,224233786.1
1.58933E+12,189.77,201,188.35,199.58,806143.007,156637596.4
1.58924E+12,185.8,192.24,185.48,189.76,669755.7957,126810812.2
1.58916E+12,187.62,193.5,176,185.73,1093299.819,203391530.2
1.58907E+12,210.09,210.18,179.59,187.54,1473226.055,278394290.8
1.58898E+12,211.32,214.6,208.4,210.07,587871.9807,124626471.4
1.5889E+12,212.01,216.61,206.9,211.31,917908.1944,194579529.4
1.58881E+12,198.92,215.1,196.43,212,1305778.738,271197927.7
1.58872E+12,205.3,210.77,197.71,198.97,862700.6785,178157452.6
1.58864E+12,206.47,211.68,201,205.29,640644.6627,131906204.9
1.58855E+12,209.86,210.65,194.88,206.48,1114249.327,225451167.7
1.58846E+12,213.89,219.3,203.92,209.86,748383.9131,158874887.1
1.58838E+12,212.01,215.37,210.36,213.9,443494.6725,94389501.52
1.58829E+12,206.07,217.14,205.91,212.02,794913.9583,168339123.4
1.5882E+12,215.4,227.3,202,206.08,1749691.002,374893029.8
1.58812E+12,196.24,218.77,196.22,215.36,1620422.724,338324593.6
1.58803E+12,196.33,198.5,192.36,196.24,636829.894,124476041.9
1.58795E+12,197.39,199.05,189.29,196.34,896627.3727,174775637.9
1.58786E+12,194.21,200,192.3,197.38,758525.8153,148433709.8
1.58777E+12,187.6,198.36,185.76,194.21,866478.0493,167703202.4
1.58769E+12,185.57,189.8,184.72,187.59,780904.2126,146419748.1
1.5876E+12,182.7,193.63,178.16,185.51,1457867.087,270862911.4
1.58751E+12,170.73,184,169.78,182.7,988698.3908,176079076.9
1.58743E+12,170.21,174.7,168,170.74,906381.654,155292048.4
1.58734E+12,180.02,186.46,166.7,170.2,1547821.527,273854539.8
1.58725E+12,187.4,188.35,175.75,180.03,995759.5775,181415813.5
1.58717E+12,170.61,189.54,170.48,187.4,1127296.37,203132212
1.58708E+12,172.31,174.96,168.31,170.69,723537.7559,123553456.3
1.587E+12,152.74,174.79,148.33,172.29,1647207.6,273639160.1
1.58691E+12,158.46,161.29,152,152.73,729119.6651,114640840.1
1.58682E+12,156.28,161.85,155.23,158.45,698030.6509,110710086.1
1.58674E+12,158.56,158.97,150,156.29,1042091.036,160423270.3
1.58665E+12,158.33,164.78,155,158.59,809100.2459,129919934.4
1.58656E+12,157.81,161.37,153.91,158.33,621599.6129,98275533.06
1.58648E+12,169.56,170.1,152.11,157.81,1314841.362,209535613.3
1.58639E+12,173.15,173.38,165.19,169.52,719837.2442,122531132
1.5863E+12,164.62,174.48,163.59,173.11,1023575.921,173916484.8
1.58622E+12,171.32,176.22,162.22,164.63,1717962.825,292710722.6
1.58613E+12,142.69,172,142.6,171.32,1636338.731,257097597.8
1.58604E+12,144.1,145.58,140.68,142.68,414987.4525,59383946.13
1.58596E+12,141.3,146.28,138.88,144.1,573508.1409,81640622.83
1.58587E+12,141.27,146.72,137.26,141.31,797546.1145,113731706.7
1.58579E+12,135.65,149.76,135.01,141.28,1138977.661,159989506.6
1.5857E+12,132.72,136.99,128.62,135.69,680922.2475,90063924.23
1.58561E+12,132.09,135,130.38,132.72,547669.2779,72618183.48
1.58553E+12,124.47,135.42,124.06,132.06,764831.9275,100271145.9
1.58544E+12,130.94,131.84,123.81,124.5,543997,69434202.21
1.58535E+12,131.33,132.97,124.88,130.98,896032.1059,115166652
1.58527E+12,138.4,141.27,129.68,131.33,706948.5456,96581886.88
1.58518E+12,136.11,139.74,133.26,138.4,751060.631,101918769.7
1.58509E+12,138.42,142.33,132.54,136.1,1034248.744,141795323
1.58501E+12,135.89,143.36,132.2,138.42,1244377.163,171156363.7
1.58492E+12,122.31,137.5,119.5,135.92,1436796.124,184851609.1
1.58484E+12,132.63,137.13,121.1,122.32,1055699.865,135927941.1
1.58475E+12,133.49,137.49,125.69,132.66,1231842.111,162468451.8
1.58466E+12,136.3,152.55,116.74,133.48,2504057.638,345856006.7
1.58458E+12,118.11,143.13,115.46,136.3,1801071.188,231626928.2
1.58449E+12,115.67,118.5,109.86,118.11,1201850.313,137550912.1
1.5844E+12,111.02,120.8,109.38,115.67,1295108.485,150800664.1
1.58432E+12,123.82,124.33,101.1,111.02,2442064.144,270353891.8
1.58423E+12,122.54,133.5,120.16,123.78,1312950.901,163436235.3
1.58414E+12,134.06,134.68,120,122.54,1237674.886,159192895.6
1.58406E+12,107.67,139.68,86,134.06,4663239.929,560710331.8
1.58397E+12,194.61,195.55,101.2,107.82,3814533.14,548668262.2
1.58388E+12,200.74,203.18,181.73,194.61,1079824.902,208232375.2
1.5838E+12,202.79,206.2,195.54,200.7,1020260.107,205536190.2
1.58371E+12,199.43,208.62,190,202.81,1661331.836,332570408.5
1.58363E+12,237.23,237.23,195.5,199.43,1278973.537,277970187.9
1.58354E+12,244.93,251.93,236,237.23,633748.8966,154037325.6
1.58345E+12,228.38,245.16,227.33,244.88,628147.3257,148563741.8
1.58337E+12,224.26,234.09,224.23,228.38,601479.8759,138081898.3
1.58328E+12,223.84,228.85,220.23,224.26,443780.3377,99650220.54
1.58319E+12,232.1,232.46,219.57,223.91,741498.5483,168090325.5
1.58311E+12,217.81,234.4,216.07,231.97,810051.4833,182948651.7
1.58302E+12,217.29,227.89,212.36,217.81,715016.0194,157064953.8
1.58293E+12,226.76,233,217,217.21,546866.6851,123635801
1.58285E+12,227.73,234.67,214.01,226.76,1054994.924,236064804.3
1.58276E+12,223.98,238.3,210,227.79,1273793.117,287322727.3
1.58268E+12,246.67,250.32,215.66,223.93,1395879.415,324229460.6
1.58259E+12,265.47,266.22,244.44,246.67,774791.0103,197442911.5
1.5825E+12,274.5,277.2,257.09,265.52,696591.7298,185949182.7
1.58242E+12,261.55,275.68,261.02,274.48,444740.8288,120024059
1.58233E+12,265.32,266.81,256,261.57,313062.5213,81781388.32
1.58224E+12,256.97,268.24,253.61,265.27,525827.8734,137848242.4
1.58216E+12,258.44,264.33,245.34,256.96,972969.7169,249383114
1.58207E+12,282.64,285,251.56,258.45,705973.7299,191887955.8
1.58198E+12,267.9,285.88,258,282.61,1115523.44,304162263.3
1.5819E+12,258.89,268.77,242,267.85,1110371.391,280371301.8
1.58181E+12,264.91,274,237.41,258.85,1110118.464,286269166.3
1.58172E+12,285.11,288.41,261.86,264.88,860813.1427,236287101.1
1.58164E+12,268.34,287.15,260.28,285.15,734944.3227,201120424.6
1.58155E+12,265.74,277.69,256.08,268.32,1089679.154,291533156.1
1.58147E+12,236.69,275.34,236.69,265.74,1038073.748,266734296.6
1.58138E+12,222.89,239.15,218.17,236.69,595576.9028,135863928.6
1.58129E+12,228.53,229.4,216.37,222.89,510415.4995,113385289
1.58121E+12,223.01,230.65,222.86,228.49,350336.244,79674647
1.58112E+12,223.36,227.75,213.22,223.05,548551.8747,122069507.7
1.58103E+12,213.16,225,213.14,223.33,629361.1547,138524804.2
1.58095E+12,203.78,216.33,201.02,213.19,608240.2233,127874220.8
1.58086E+12,188.91,207.61,188.19,203.78,550942.1142,108659358.5
1.58077E+12,189.74,191.6,184.69,188.91,366389.6969,68720832.62
1.58069E+12,188.48,195.19,186.62,189.69,417175.9578,79336312.52
1.5806E+12,183.63,193.43,179.1,188.44,552621.1362,104105613.6
1.58052E+12,179.94,184.28,179.23,183.6,259370.129,47263178.07
1.58043E+12,184.71,185.82,175.22,179.99,385596.5337,69633052.28
1.58034E+12,173.68,187,170.93,184.69,477721.6609,85164074.08
1.58026E+12,175.58,178.45,173.33,173.72,317382.9016,55988230.27
1.58017E+12,170.04,176.2,170.03,175.64,473433.8961,81649497.49
1.58008E+12,167.91,172.56,165.22,170.08,365894.8192,61846624.61
1.58E+12,160.36,168.08,159.41,167.86,251582.5576,41239031.34
1.57991E+12,162.51,162.79,157.61,160.35,219921.652,35196608.31
1.57982E+12,162.85,164.45,155.55,162.54,430013.199,68980724.06
1.57974E+12,168.07,168.2,159.21,162.81,373414.3499,60971659.77
1.57965E+12,169.48,171.47,166.03,168.07,272240.9029,45903134.16
1.57956E+12,166.86,170.32,164.8,169.49,308007.6353,51615232.57
1.57948E+12,166.79,169.33,161.24,166.87,358092.8841,59292534.72
1.57939E+12,174.1,178.05,161.66,166.79,624681.286,105691368.8
