unix,open,high,low,close,Volume LTC,Volume USDT
1562460000000,118.28,120.35,117,119.48,142378.6143,16885095.36
1562370000000,118.29,121.8,117.06,118.31,153816.698,18323759.27
1562280000000,119.64,120.99,116.22,118.35,223608.7126,26574015.85
1562200000000,121.34,127.03,118.51,119.61,375062.7427,45922151.58
1562110000000,118.74,123.15,116.78,121.36,365008.0675,43803309.44
1562030000000,123.16,124,112.63,118.77,469582.087,55049525.44
1561940000000,123.22,127.03,113.82,123.17,612063.2592,74028859.44
1561850000000,133.88,137.44,120.54,123.25,808645.4478,105468144.6
1561770000000,119.99,137,116,133.86,650966.5278,82947506.01
1561680000000,116.02,122.19,114.49,120.01,455587.9646,53924815.98
1561590000000,132.24,133.5,111.82,116.01,932158.0369,111595940.2
1561510000000,136.32,138.5,127.5,132.25,659208.4548,88988518.12
1561420000000,135.78,138.63,129.75,136.33,343042.3183,46185009.3
1561330000000,137.5,137.52,132.65,135.77,269137.0896,36393377.84
1561250000000,142.2,143.34,136.15,137.5,273142.6617,38332851.56
1561160000000,138.3,145.9,136.01,142.26,670112.1941,94685540.91
1561080000000,135.45,141.29,131,138.28,392390.9775,53951692.11
1560990000000,136.41,136.75,133,135.46,236819.6141,31945265.27
1560900000000,135.25,139.5,133.5,136.43,373850.883,51215678.89
1560820000000,133.8,136.84,128,135.22,400995.8315,53298085.83
1560730000000,136.42,136.82,131.53,133.8,302485.501,40632294.86
1560640000000,137.51,138.2,133.15,136.45,392560.1049,53270945.6
1560560000000,132.03,139.5,132.01,137.54,389908.3762,52916731.48
1560470000000,130.55,133.03,125.22,132,460272.6279,59616359.31
1560380000000,135.32,136.52,127.92,130.55,477007.3052,63425735.66
1560300000000,135.79,143.19,129.86,135.32,1015972.929,139662839.6
1560210000000,129.19,138.56,124.85,135.69,836034.9735,109260631
1560120000000,114.66,130.12,112.54,129.15,793211.2233,97867984.49
1560040000000,118.01,118.94,111.02,114.66,425246.3675,48979996.56
1559950000000,116.74,119.7,113.5,118.01,454621.7537,52877380.64
1559870000000,111.25,121,109.53,116.71,619792.4898,71559713.26
1559780000000,103.61,112.07,101,111.19,488905.2159,51485265.63
1559690000000,102.2,105.21,100.11,103.66,379894.4448,39022877.26
1559610000000,105.94,106.8,98.13,102.2,673951.1415,69303243.31
1559520000000,114.44,116.2,105.01,105.99,441610.7846,49245349.2
1559430000000,112.34,116.48,111.25,114.39,234192.233,26740364.2
1559350000000,114.65,116.28,110.51,112.35,318759.8404,36157772.31
1559260000000,107.78,114.93,104.55,114.6,487341.728,53042097.01
1559170000000,115.03,120.35,102.4,107.78,708618.8245,80058168
1559090000000,114.87,118.33,108,115.06,359489.098,41060611.96
1559000000000,116.41,118.22,111.08,114.81,399902.254,45797915.3
1558920000000,111.03,121.89,109.94,116.3,873684.8985,99764291.85
1558830000000,102.66,114,97.5,111,658431.9114,68920626.42
1558740000000,100.5,105.07,98.87,102.66,519802.9895,53062963.83
1558660000000,88.67,103.77,88.01,100.5,832985.1613,81794059.98
1558570000000,87.74,89.53,84.62,88.61,208332.2953,18146600.07
1558480000000,90.77,92.04,85.83,87.74,308520.2911,27641752.05
1558400000000,91.1,93.02,88.83,90.79,335538.2331,30483197.13
1558310000000,94.55,94.58,87.11,91.1,447735.7162,40656121.44
1558220000000,86.55,96.81,86.07,94.58,584649.5176,54045051.62
1558140000000,89.76,90.51,85.11,86.51,380542.143,33352370.45
1558050000000,95.49,97.48,84.27,89.76,914179.2255,80856683.96
1557960000000,102.03,107.14,90.73,95.49,1179885.108,116020063.8
1557880000000,91.15,104.25,89.69,102.02,673429.9261,66429508.18
1557790000000,87.34,93.61,86.5,91.17,644139.0647,58186818.86
1557710000000,84.71,92.49,84.1,87.16,627311.3557,55391993.13
1557620000000,86.59,94.01,83,84.73,797262.8597,69998434.02
1557530000000,77.12,95,76.85,86.59,909602.1269,78091222.11
1557450000000,74.18,79.61,72.66,77.11,422915.9252,32199715.14
1557360000000,74.44,75.9,72.77,74.19,240477.4367,17829294.36
1557270000000,74.59,75.5,72.4,74.44,206081.7855,15267753.66
1557190000000,74.95,78.75,73.4,74.61,357677.928,27275279.86
1557100000000,75.7,76.91,71.64,74.94,389445.4804,28863797.89
1557010000000,77.73,78.16,75.4,75.7,236821.3125,18139200.76
1556930000000,79.26,82.76,74.54,77.77,457004.0148,35750061.71
1556840000000,73.65,80.58,73.31,79.22,538448.4052,41683556.41
1556760000000,73.35,74.42,72.73,73.68,289626.4537,21306943.8
1556670000000,74.31,75.36,71.78,73.36,273831.0477,20098972.5
1556580000000,67.86,74.74,67.86,74.32,354469.1354,25357609
1556500000000,69.89,70.37,66.5,67.87,203603.186,13896456.97
1556410000000,72.24,72.72,68.95,69.89,218635.5896,15458571.18
1556320000000,73.83,74.01,71.83,72.23,102336.9822,7467848.376
1556240000000,71.79,76.5,70.31,73.82,345014.8768,25320328.55
1556150000000,72.85,74.43,70.6,71.78,307408.7039,22353656.72
1556060000000,73.67,74.69,69.9,72.85,466422.9092,33586009.25
1555980000000,76.47,79.29,73.33,73.7,408341.2266,31534100.59
1555890000000,76.61,77.63,74.9,76.51,285737.8389,21814764.75
1555800000000,81.16,81.85,72.86,76.65,405449.3565,30882393.82
1555720000000,82.05,82.69,79.33,81.15,209481.5476,17009020.01
1555630000000,81.67,83.17,79.48,82.05,265365.4938,21606124.75
1555550000000,78.82,83.66,78.74,81.68,328509.7704,26614059.49
1555460000000,80.27,81.5,78,78.77,232336.8106,18452843.59
1555370000000,78.06,81.49,76.88,80.27,295134.1773,23370026.86
1555290000000,83.31,84.41,75,78.07,437925.6545,35039724.54
1555200000000,77.58,83.6,76.09,83.28,242418.413,19179352.73
1555110000000,78.43,81.02,75.51,77.62,276710.7109,21674683.21
1555030000000,78.9,80.43,75,78.47,351092.1192,27388660.73
1554940000000,88.16,88.45,74.64,78.88,663804.985,52734752.57
1554850000000,86.19,91.1,85.91,88.16,315727.2368,27802373.27
1554770000000,88.57,88.71,82.61,86.17,317748.7852,27340412.18
1554680000000,91.55,94,85.2,88.57,439909.3384,39092277.75
1554600000000,92.23,95.44,88.74,91.55,404878.1343,37409101.16
1554510000000,88.24,97.54,85,92.21,706789.2346,65322880.09
1554420000000,84.71,89.85,83.65,88.24,366668.9956,31984491.38
1554340000000,85.02,89.85,79.85,84.7,775702.6722,66127061.92
1554250000000,76.76,98.5,76.24,85.19,1514710.293,130062156.1
1554160000000,60.45,78.4,59.95,76.78,805505.1658,55327330.19
1554080000000,60.47,60.9,59.62,60.45,129238.6612,7810478.445
1553990000000,60.45,60.72,59.83,60.48,120015.8601,7234304.25
1553900000000,61.41,61.56,59.59,60.45,161304.2613,9780439.5
1553820000000,60.48,61.8,60.15,61.45,200422.3454,12200871.34
1553730000000,61.43,61.43,60.15,60.5,160785.5462,9744151.847
1553640000000,58.81,61.87,58.58,61.44,260971.7306,15803472.95
1553560000000,59.06,59.35,57.23,58.79,175752.0093,10247903.1
1553470000000,59.81,60.7,58.2,59.04,216703.6697,12846830.32
1553390000000,60.88,60.9,58.84,59.82,360926.1571,21566309.64
1553300000000,59.23,61.76,58.93,60.89,372961.5478,22578010.57
1553210000000,58.54,59.6,58,59.26,184427.3359,10869615.67
1553130000000,60.29,60.64,56.98,58.54,164946.6054,9725257.74
1553040000000,59.5,60.74,56.64,60.27,285413.7934,16953291.84
1552950000000,59.2,59.96,58.33,59.52,221995.5983,13162394.44
1552870000000,60.47,62.63,58.2,59.17,301146.214,18071146.49
1552780000000,61.22,61.32,59.57,60.47,174833.3191,10590199.96
1552690000000,58.52,61.97,58.41,61.21,375314.7927,22846386.03
1552610000000,55.94,59.15,55.94,58.52,295307.7768,17013433.64
1552520000000,55.29,58.2,51.66,55.94,333686.3963,18559101.37
1552440000000,56.6,56.84,54.3,55.29,234206.3592,13044765.61
1552350000000,54.82,56.96,53.72,56.58,186798.9733,10473627.53
1552260000000,56.63,57.37,54,54.82,319640.8436,17619148.08
1552180000000,57.78,58.04,55.84,56.59,198932.2373,11276533.68
1552090000000,55.58,59.83,55.38,57.78,413625.1044,23841397.79
1552000000000,56.73,57.6,54.3,55.61,440480.659,24793142.89
1551920000000,55.37,59.12,53.77,56.73,816612.7705,46227699.94
1551830000000,52.52,56.81,51.11,55.37,670227.494,36366973.29
1551740000000,45.78,54.25,45.38,52.52,798938.1037,40660412.22
1551660000000,47.87,48.22,44.57,45.78,306985.2798,14131761.5
1551570000000,48.51,49.1,47.18,47.86,218511.994,10525909.31
1551480000000,47.02,49.4,46.38,48.49,325733.9474,15618945.78
1551400000000,45.62,48.95,45.53,47.05,336011.9229,15914635.48
1551310000000,45.15,46.7,44.44,45.61,258562.9678,11834468.51
1551230000000,44.77,45.53,42.51,45.16,223940.9451,9964616.987
1551140000000,45.4,45.89,44.06,44.76,220101.5549,9886505.231
1551050000000,43.74,46.85,43,45.4,377273.1728,16992487.31
1550970000000,51.39,53.53,42.37,43.75,685277.0161,32440229.7
1550880000000,49.22,51.88,48,51.4,411115.3383,20597303.04
1550790000000,48.93,49.97,48.08,49.19,265979.4349,13079846.88
1550710000000,51.47,51.65,47.35,48.94,383781.9003,18972966.87
1550620000000,47.16,52.21,46.25,51.5,566874.1207,28402239.42
1550530000000,47.81,49.1,46.56,47.14,404786.7578,19350985.32
1550450000000,43.89,49.03,43.62,47.84,744029.8712,34349598.98
1550360000000,43.34,45.13,42.6,43.91,331698.796,14459368.84
1550280000000,42.6,44.37,42.28,43.34,326691.7079,14225774.12
1550190000000,41.26,44.6,41.06,42.58,389950.9521,16519445.99
1550100000000,41.61,42.45,40.31,41.26,285144.9374,11825040.19
1550020000000,43.89,44.66,40.64,41.61,333914.8433,14169773.7
1549930000000,42.88,44.57,41.84,43.89,326731.558,14181167.73
1549840000000,46.8,46.87,41.81,42.9,570398.4899,25000654.72
1549760000000,44.68,47.59,42,46.79,667594.4623,30084786.22
1549670000000,42.99,46.95,42.05,44.68,993529.3585,43845377.36
1549580000000,33.23,44.85,32.75,42.99,1237384.07,48819159.69
1549500000000,32.78,33.61,32.73,33.24,144528.0808,4798854.818
1549410000000,34.35,34.5,32.25,32.79,312456.542,10273847.96
1549320000000,34.08,34.54,33.63,34.34,214319.3424,7321284.881
1549240000000,33.43,34.5,33.36,34.09,206649.669,7014206.268
1549150000000,34.59,34.89,32.86,33.44,348406.7322,11802330.61
1549070000000,32.61,35.01,32.44,34.59,268052.5235,8939273.974
1548980000000,31.43,33.64,30.7,32.65,335544.9645,10864529.59
1548890000000,31.68,32.33,31.08,31.41,154708.1743,4881672.957
1548810000000,30.8,31.97,30.47,31.68,129114.9971,4046024.372
1548720000000,30.94,31.26,29.91,30.81,135879.8588,4168438.656
1548630000000,32.22,32.53,30,30.94,267887.6294,8275485.972
1548550000000,32.79,33.2,31.05,32.21,173697.82,5628213.32
1548460000000,32.68,33.95,32.57,32.8,166677.4281,5537195.889
1548370000000,32.52,33,31.87,32.69,169242.5338,5485967.929
1548290000000,31.69,33.1,30.89,32.51,138812.1622,4453091.295
1548200000000,31.4,32.18,31.24,31.69,123577.2723,3920165.802
1548120000000,30.82,32,29.48,31.41,199887.1626,6183272.81
1548030000000,30.63,31.22,30.34,30.82,110305.7587,3392716.054
1547940000000,31.94,33.2,28.45,30.64,249450.0041,7815412.73
1547860000000,30.78,32.92,30.77,32,164989.6367,5273505.545
1547770000000,31.38,31.53,30.31,30.77,150711.3444,4659547.386
1547680000000,31.29,31.55,29.8,31.4,203218.0029,6238519.893
1547600000000,30.74,31.93,30.47,31.29,153939.5962,4789334.142
1547510000000,31.72,32.27,29.95,30.75,216841.8609,6784015.424
1547420000000,29.6,32.5,29.38,31.71,255282.358,7925720.274
1547340000000,31.65,32.63,29.12,29.59,229264.1193,7075842.071
1547250000000,31.48,32.13,31.07,31.65,178476.2872,5640569.246
1547160000000,32.81,33.22,29.68,31.49,351182.3817,11268415.52
1547080000000,38.17,38.77,31,32.81,584622.4539,19980421.47
1546990000000,38.7,39.72,38,38.17,312030.1302,12104357.44
1546910000000,37.35,40.8,36.91,38.7,522510.1714,20322945.33
